countyFIPS,State,County Name,Population Change (%)
01001,Alabama,Autauga County,2.33
01003,Alabama,Baldwin County,22.48
01005,Alabama,Barbour County,-10.09
01007,Alabama,Bibb County,-2.27
01009,Alabama,Blount County,0.88
01011,Alabama,Bullock County,-7.42
01013,Alabama,Butler County,-7.13
01015,Alabama,Calhoun County,-4.15
01017,Alabama,Chambers County,-2.68
01019,Alabama,Cherokee County,0.84
01021,Alabama,Chilton County,1.82
01023,Alabama,Choctaw County,-9.16
01025,Alabama,Clarke County,-8.56
01027,Alabama,Clay County,-4.99
01029,Alabama,Cleburne County,-0.41
01031,Alabama,Coffee County,4.78
01033,Alabama,Colbert County,1.49
01035,Alabama,Conecuh County,-8.83
01037,Alabama,Coosa County,-9.3
01039,Alabama,Covington County,-1.89
01041,Alabama,Crenshaw County,-0.87
01043,Alabama,Cullman County,4.18
01045,Alabama,Dale County,-2.15
01047,Alabama,Dallas County,-15.1
01049,Alabama,DeKalb County,0.55
01051,Alabama,Elmore County,2.44
01053,Alabama,Escambia County,-4.4
01055,Alabama,Etowah County,-2.07
01057,Alabama,Fayette County,-5.41
01059,Alabama,Franklin County,-1.09
01061,Alabama,Geneva County,-1.9
01063,Alabama,Greene County,-10.27
01065,Alabama,Hale County,-7.05
01067,Alabama,Henry County,-0.54
01069,Alabama,Houston County,4.26
01071,Alabama,Jackson County,-3.0
01073,Alabama,Jefferson County,0.0
01075,Alabama,Lamar County,-5.21
01077,Alabama,Lauderdale County,0.02
01079,Alabama,Lawrence County,-4.12
01081,Alabama,Lee County,17.29
01083,Alabama,Limestone County,19.48
01085,Alabama,Lowndes County,-13.9
01087,Alabama,Macon County,-15.76
01089,Alabama,Madison County,11.38
01091,Alabama,Marengo County,-10.38
01093,Alabama,Marion County,-3.47
01095,Alabama,Marshall County,4.04
01097,Alabama,Mobile County,0.02
01099,Alabama,Monroe County,-10.12
01101,Alabama,Montgomery County,-1.26
01103,Alabama,Morgan County,0.16
01105,Alabama,Perry County,-15.62
01107,Alabama,Pickens County,0.93
01109,Alabama,Pike County,0.65
01111,Alabama,Randolph County,-0.85
01113,Alabama,Russell County,9.44
01115,Alabama,St. Clair County,7.39
01117,Alabama,Shelby County,11.5
01119,Alabama,Sumter County,-9.71
01121,Alabama,Talladega County,-2.88
01123,Alabama,Tallapoosa County,-3.01
01125,Alabama,Tuscaloosa County,7.55
01127,Alabama,Walker County,-5.22
01129,Alabama,Washington County,-7.13
01131,Alabama,Wilcox County,-11.07
01133,Alabama,Winston County,-3.51
02013,Alaska,Aleutians East Borough,6.24
02016,Alaska,Aleutians West Census Area,1.31
02020,Alaska,Anchorage Municipality,-1.31
