countyFIPS,STNAME,CTYNAME,% Male,% Female,% White,% Black,% Native American,% Asian,% Hawaiian or Pacific Islander,% Hispanic or Latino
01001,Alabama,Autauga County,48.49,51.51,73.77,19.86,0.43,1.16,0.07,2.99
01003,Alabama,Baldwin County,48.49,51.51,83.21,8.61,0.68,1.05,0.06,4.72
01005,Alabama,Barbour County,52.92,47.08,45.51,47.83,0.38,0.47,0.13,4.52
01007,Alabama,Bibb County,53.27,46.73,74.41,21.07,0.41,0.21,0.03,2.78
01009,Alabama,Blount County,49.24,50.76,86.77,1.51,0.49,0.28,0.04,9.65
01011,Alabama,Bullock County,54.53,45.47,21.0,69.08,0.25,0.16,0.05,8.55
01013,Alabama,Butler County,46.4,53.6,51.1,44.63,0.37,1.39,0.04,1.49
01015,Alabama,Calhoun County,47.96,52.04,71.71,21.0,0.42,0.87,0.09,4.06
01017,Alabama,Chambers County,47.8,52.2,55.12,39.79,0.25,1.07,0.02,2.62
01019,Alabama,Cherokee County,49.34,50.66,91.67,4.08,0.61,0.37,0.0,1.71
01021,Alabama,Chilton County,49.07,50.93,79.86,9.93,0.36,0.44,0.03,8.18
01023,Alabama,Choctaw County,47.17,52.83,56.33,41.58,0.19,0.17,0.0,1.02
01025,Alabama,Clarke County,47.21,52.79,52.11,44.74,0.47,0.42,0.02,1.31
01027,Alabama,Clay County,48.71,51.29,80.35,13.49,0.5,0.25,0.0,3.29
01029,Alabama,Cleburne County,49.23,50.77,92.82,2.75,0.45,0.21,0.01,2.6
01031,Alabama,Coffee County,49.18,50.82,69.42,17.06,1.12,1.59,0.14,7.97
01033,Alabama,Colbert County,47.81,52.19,77.72,16.0,0.59,0.66,0.06,3.24
01035,Alabama,Conecuh County,47.72,52.28,50.36,45.45,0.49,0.22,0.02,2.3
01037,Alabama,Coosa County,50.03,49.97,65.13,30.51,0.4,0.15,0.01,2.63
01039,Alabama,Covington County,48.39,51.61,83.06,12.36,0.65,0.47,0.01,1.85
01041,Alabama,Crenshaw County,48.54,51.46,70.27,23.6,0.61,1.1,0.01,2.42
01043,Alabama,Cullman County,49.43,50.57,91.68,1.25,0.55,0.7,0.06,4.48
01045,Alabama,Dale County,49.24,50.76,67.98,20.45,0.65,1.42,0.14,7.02
01047,Alabama,Dallas County,46.18,53.82,26.97,70.32,0.23,0.43,0.03,1.15
01049,Alabama,DeKalb County,49.75,50.25,79.85,1.48,1.23,0.36,0.06,15.07
01051,Alabama,Elmore County,48.31,51.69,73.08,20.91,0.39,0.73,0.08,3.16
01053,Alabama,Escambia County,50.3,49.7,60.31,30.99,3.75,0.3,0.06,2.6
01055,Alabama,Etowah County,48.4,51.6,77.45,15.52,0.38,0.77,0.04,4.14
01057,Alabama,Fayette County,48.69,51.31,84.06,11.5,0.36,0.44,0.0,2.05
01059,Alabama,Franklin County,50.32,49.68,76.18,3.78,0.47,0.26,0.11,17.88
01061,Alabama,Geneva County,48.83,51.17,83.56,9.14,0.91,0.3,0.04,4.17
01063,Alabama,Greene County,47.21,52.79,17.54,79.44,0.23,0.27,0.0,1.71
01065,Alabama,Hale County,47.44,52.56,39.72,57.68,0.23,0.3,0.01,1.43
01067,Alabama,Henry County,48.29,51.71,69.54,25.42,0.41,0.37,0.02,2.69
01069,Alabama,Houston County,47.82,52.18,66.08,27.09,0.41,1.03,0.06,3.43
01071,Alabama,Jackson County,49.14,50.86,89.05,3.34,1.39,0.48,0.06,3.07
01073,Alabama,Jefferson County,47.26,52.74,49.51,43.14,0.2,1.77,0.04,4.08
01075,Alabama,Lamar County,48.97,51.03,86.01,10.13,0.21,0.1,0.01,1.91
01077,Alabama,Lauderdale County,47.98,52.02,84.57,9.86,0.37,0.76,0.03,2.86
01079,Alabama,Lawrence County,48.7,51.3,76.3,10.76,5.57,0.21,0.02,2.37
