countyFIPS,Unemployment Rate (%) - Sept,County Name,State
01001,5.2,Autauga County,AL
01003,5.5,Baldwin County,AL
01005,8.6,Barbour County,AL
01007,6.6,Bibb County,AL
01009,4,Blount County,AL
01011,6.5,Bullock County,AL
01013,9.1,Butler County,AL
01015,7.5,Calhoun County,AL
01017,6.6,Chambers County,AL
01019,4,Cherokee County,AL
01021,5.1,Chilton County,AL
01023,7.1,Choctaw County,AL
01025,10.7,Clarke County,AL
01027,4,Clay County,AL
01029,4.1,Cleburne County,AL
01031,4.5,Coffee County,AL
01033,6.6,Colbert County,AL
01035,8.1,Conecuh County,AL
01037,5.2,Coosa County,AL
01039,4.7,Covington County,AL
01041,5.2,Crenshaw County,AL
01043,3.8,Cullman County,AL
01045,5.4,Dale County,AL
01047,11.7,Dallas County,AL
01049,4.1,DeKalb County,AL
01051,5.2,Elmore County,AL
01053,6.5,Escambia County,AL
01055,7.6,Etowah County,AL
01057,4.6,Fayette County,AL
01059,3.9,Franklin County,AL
01061,4.3,Geneva County,AL
01063,11.9,Greene County,AL
01065,10.3,Hale County,AL
01067,5.2,Henry County,AL
01069,6.3,Houston County,AL
01071,4.7,Jackson County,AL
01073,7.3,Jefferson County,AL
01075,4.7,Lamar County,AL
01077,5.3,Lauderdale County,AL
01079,5.1,Lawrence County,AL
01081,5.4,Lee County,AL
01083,4.3,Limestone County,AL
01085,15.9,Lowndes County,AL
01087,10.7,Macon County,AL
01089,5.2,Madison County,AL
01091,6.9,Marengo County,AL
01093,4.9,Marion County,AL
01095,3.9,Marshall County,AL
01097,9.3,Mobile County,AL
01099,8.5,Monroe County,AL
01101,9.7,Montgomery County,AL
01103,4.8,Morgan County,AL
01105,11.6,Perry County,AL
01107,6.7,Pickens County,AL
01109,5.3,Pike County,AL
01111,3.9,Randolph County,AL
01113,5.2,Russell County,AL
01115,5.1,St. Clair County,AL
01117,4,Shelby County,AL
01119,7.2,Sumter County,AL
01121,6.8,Talladega County,AL
01123,6.6,Tallapoosa County,AL
01125,6.8,Tuscaloosa County,AL
01127,5.9,Walker County,AL
01129,8.7,Washington County,AL
01131,17,Wilcox County,AL
01133,4.7,Winston County,AL
02013,2.1,Aleutians East Borough,AK
02016,2.4,Aleutians West Census Area,AK
02020,6.5,Anchorage Borough/municipality,AK
02050,10.4,Bethel Census Area,AK
02060,6.5,Bristol Bay Borough,AK
02068,6.5,Denali Borough,AK
02070,6.9,Dillingham Census Area,AK
02090,5.1,Fairbanks North Star Borough,AK
02100,10.6,Haines Borough,AK
02105,9.7,Hoonah-Angoon Census Area,AK
02110,5.8,Juneau Borough/city,AK
02122,7.6,Kenai Peninsula Borough,AK
02130,7.7,Ketchikan Gateway Borough,AK
02150,4.5,Kodiak Island Borough,AK
02158,13.2,Kusilvak Census Area,AK
02164,6.4,Lake and Peninsula Borough,AK
02170,6.8,Matanuska-Susitna Borough,AK
02180,8.9,Nome Census Area,AK
02185,5.5,North Slope Borough,AK
02188,10.2,Northwest Arctic Borough,AK
02195,5.5,Petersburg Borough,AK
02198,7.8,Prince of Wales-Hyder Census Area,AK
02220,5.2,Sitka Borough/city,AK
02230,12.8,Skagway Municipality,AK
02240,5.4,Southeast Fairbanks Census Area,AK
02261,5.3,Valdez-Cordova Census Area,AK
02275,6.7,Wrangell Borough/city,AK
02282,6.7,Yakutat Borough/city,AK
02290,8.8,Yukon-Koyukuk Census Area,AK
04001,11.2,Apache County,AZ
04003,5.7,Cochise County,AZ
04005,8.2,Coconino County,AZ
04007,6.5,Gila County,AZ
04009,5.5,Graham County,AZ
04011,5,Greenlee County,AZ
04012,6.2,La Paz County,AZ
04013,6.3,Maricopa County,AZ
04015,8.1,Mohave County,AZ
04017,8.5,Navajo County,AZ
04019,6.5,Pima County,AZ
04021,6.5,Pinal County,AZ
04023,11.4,Santa Cruz County,AZ
04025,5.7,Yavapai County,AZ
04027,17,Yuma County,AZ
05001,4.9,Arkansas County,AR
05003,10.4,Ashley County,AR
05005,6.2,Baxter County,AR
05007,5.3,Benton County,AR
05009,5.4,Boone County,AR
05011,6.1,Bradley County,AR
05013,5.4,Calhoun County,AR
05015,6,Carroll County,AR
05017,12.4,Chicot County,AR
05019,6.3,Clark County,AR
05021,5.8,Clay County,AR
05023,7.7,Cleburne County,AR
05025,7.4,Cleveland County,AR
05027,8.1,Columbia County,AR
05029,6.4,Conway County,AR
05031,6.1,Craighead County,AR
05033,6.2,Crawford County,AR
05035,10.2,Crittenden County,AR
05037,6.7,Cross County,AR
05039,5.9,Dallas County,AR
05041,8.5,Desha County,AR
05043,7.5,Drew County,AR
05045,5.8,Faulkner County,AR
05047,6.3,Franklin County,AR
05049,5.2,Fulton County,AR
05051,9.6,Garland County,AR
05053,5.9,Grant County,AR
05055,6.1,Greene County,AR
05057,5.9,Hempstead County,AR
05059,6.9,Hot Spring County,AR
05061,5.9,Howard County,AR
05063,5.8,Independence County,AR
05065,8.2,Izard County,AR
05067,7.8,Jackson County,AR
05069,10.1,Jefferson County,AR
05071,6.6,Johnson County,AR
05073,9.5,Lafayette County,AR
05075,7,Lawrence County,AR
05077,9,Lee County,AR
05079,6.6,Lincoln County,AR
05081,7.1,Little River County,AR
05083,7.3,Logan County,AR
05085,6.3,Lonoke County,AR
05087,4.7,Madison County,AR
05089,6.6,Marion County,AR
05091,7,Miller County,AR
05093,10.4,Mississippi County,AR
05095,7.9,Monroe County,AR
05097,7.7,Montgomery County,AR
05099,6.9,Nevada County,AR
05101,4.5,Newton County,AR
05103,6.4,Ouachita County,AR
05105,6,Perry County,AR
05107,10.1,Phillips County,AR
05109,6.8,Pike County,AR
05111,6.1,Poinsett County,AR
05113,7.1,Polk County,AR
05115,6.1,Pope County,AR
05117,5.8,Prairie County,AR
05119,9.5,Pulaski County,AR
05121,6.7,Randolph County,AR
05123,9.1,St. Francis County,AR
05125,5.8,Saline County,AR
05127,5.1,Scott County,AR
05129,6.4,Searcy County,AR
05131,6.7,Sebastian County,AR
05133,6.6,Sevier County,AR
05135,7.3,Sharp County,AR
05137,7.4,Stone County,AR
05139,9.4,Union County,AR
05141,7.7,Van Buren County,AR
05143,5.5,Washington County,AR
05145,6.6,White County,AR
05147,6.4,Woodruff County,AR
05149,5.6,Yell County,AR
06001,9.3,Alameda County,CA
