countyFIPS,County Name,State,COVID Cases,COVID Deaths,Population,COVID Cases per 100k,COVID Deaths per 100k,Unemployment Rate (%) - Sept,Poverty Rate (%),Median Household Income ($),% of adults with a college degree or higher,% Male,% Female,% White,% Black,% Native American,% Asian,% Hawaiian or Pacific Islander,% Hispanic or Latino,Population Density (per sq. mi),Median Age,% Veteran,Population Change (%),Trump %,Biden %,Biden_or_Trump
01001,Autauga County,AL,2173,30,55869,3889.46,53.7,5.2,13.8,59338,27.7,48.49,51.51,73.77,19.86,0.43,1.16,0.07,2.99,94,37.8,12.28,2.33,0.715076522305438,0.2695466550888237,0
01003,Baldwin County,AL,6966,71,223234,3120.49,31.81,5.5,9.8,57588,31.3,48.49,51.51,83.21,8.61,0.68,1.05,0.06,4.72,141,42.8,11.94,22.48,0.7623571526917252,0.22345220065170496,0
01005,Barbour County,AL,1061,9,24686,4297.98,36.46,8.6,30.9,34382,12.2,52.92,47.08,45.51,47.83,0.38,0.47,0.13,4.52,28,39.9,7.67,-10.09,0.5360045902266425,0.4563450320359568,0
01007,Bibb County,AL,878,15,22394,3920.69,66.98,6.6,21.8,46064,11.5,53.27,46.73,74.41,21.07,0.41,0.21,0.03,2.78,36,39.9,7.15,-2.27,0.7842891465580278,0.20704063511960724,0
01009,Blount County,AL,2095,25,57826,3622.94,43.23,4.0,13.2,50412,12.6,49.24,50.76,86.77,1.51,0.49,0.28,0.04,9.65,90,40.8,8.53,0.88,0.8956990422083834,0.09566990786263156,0
01011,Bullock County,AL,655,17,10101,6484.51,168.3,6.5,42.5,29267,13.3,54.53,45.47,21.0,69.08,0.25,0.16,0.05,8.55,17,39.6,4.34,-7.42,0.248316315446448,0.7471214425374756,1
01013,Butler County,AL,1024,41,19448,5265.32,210.82,9.1,24.5,37365,16.1,46.4,53.6,51.1,44.63,0.37,1.39,0.04,1.49,26,40.7,7.6,-7.13,0.5755334882738221,0.41759983097401226,0
01015,Calhoun County,AL,4892,65,113605,4306.15,57.22,7.5,19.5,45400,18.0,47.96,52.04,71.71,21.0,0.42,0.87,0.09,4.06,188,39.7,10.66,-4.15,0.6890408529255266,0.2979327197840096,0
01017,Chambers County,AL,1392,47,33254,4185.96,141.34,6.6,18.7,39917,13.2,47.8,52.2,55.12,39.79,0.25,1.07,0.02,2.62,56,43.0,8.24,-2.68,0.5729255353985199,0.4162682559434148,0
01019,Cherokee County,AL,787,15,26196,3004.28,57.26,4.0,16.3,42132,12.9,49.34,50.66,91.67,4.08,0.61,0.37,0.0,1.71,48,45.9,10.14,0.84,0.8604480651731161,0.13189409368635438,0
