countyFIPS,County Name,State,COVID Cases,COVID Deaths,Population,COVID Cases per 100k,COVID Deaths per 100k
01001,Autauga County,AL,2173,30,55869,3889.46,53.7
01003,Baldwin County,AL,6966,71,223234,3120.49,31.81
01005,Barbour County,AL,1061,9,24686,4297.98,36.46
01007,Bibb County,AL,878,15,22394,3920.69,66.98
01009,Blount County,AL,2095,25,57826,3622.94,43.23
01011,Bullock County,AL,655,17,10101,6484.51,168.3
01013,Butler County,AL,1024,41,19448,5265.32,210.82
01015,Calhoun County,AL,4892,65,113605,4306.15,57.22
01017,Chambers County,AL,1392,47,33254,4185.96,141.34
01019,Cherokee County,AL,787,15,26196,3004.28,57.26
01021,Chilton County,AL,1946,33,44428,4380.12,74.28
01023,Choctaw County,AL,395,12,12589,3137.66,95.32
01025,Clarke County,AL,1406,17,23622,5952.08,71.97
01027,Clay County,AL,776,12,13235,5863.24,90.67
01029,Cleburne County,AL,590,9,14910,3957.08,60.36
01031,Coffee County,AL,1878,11,52342,3587.94,21.02
01033,Colbert County,AL,2307,32,55241,4176.25,57.93
01035,Conecuh County,AL,577,13,12067,4781.64,107.73
01037,Coosa County,AL,223,3,10663,2091.34,28.13
01039,Covington County,AL,1892,30,37049,5106.75,80.97
01041,Crenshaw County,AL,621,30,13772,4509.15,217.83
01043,Cullman County,AL,2831,25,83768,3379.57,29.84
01045,Dale County,AL,1926,52,49172,3916.86,105.75
01047,Dallas County,AL,1907,27,37196,5126.9,72.59
01049,DeKalb County,AL,3691,30,71513,5161.3,41.95
01051,Elmore County,AL,3314,59,81209,4080.83,72.65
01053,Escambia County,AL,1768,31,36633,4826.25,84.62
01055,Etowah County,AL,4530,54,102268,4429.54,52.8
01057,Fayette County,AL,608,14,16302,3729.6,85.88
01059,Franklin County,AL,2185,32,31362,6967.03,102.03
01061,Geneva County,AL,975,7,26271,3711.32,26.65
01063,Greene County,AL,351,17,8111,4327.46,209.59
01065,Hale County,AL,796,30,14651,5433.08,204.76
01067,Henry County,AL,747,6,17205,4341.76,34.87
01069,Houston County,AL,4320,35,105882,4080.01,33.06
01071,Jackson County,AL,2347,19,51626,4546.16,36.8
01073,Jefferson County,AL,24472,388,658573,3715.91,58.92
01075,Lamar County,AL,533,6,13805,3860.92,43.46
01077,Lauderdale County,AL,2743,43,92729,2958.08,46.37
01079,Lawrence County,AL,941,33,32924,2858.1,100.23
01081,Lee County,AL,6715,65,164542,4081.02,39.5
01083,Limestone County,AL,3108,34,98915,3142.09,34.37
01085,Lowndes County,AL,728,29,9726,7485.09,298.17
01087,Macon County,AL,565,20,18068,3127.08,110.69
01089,Madison County,AL,9787,101,372909,2624.5,27.08
01091,Marengo County,AL,1066,23,18863,5651.27,121.93
01093,Marion County,AL,1127,31,29709,3793.46,104.35
01095,Marshall County,AL,4570,52,96774,4722.34,53.73
01097,Mobile County,AL,17298,322,413210,4186.25,77.93
01099,Monroe County,AL,668,10,20733,3221.92,48.23
01101,Montgomery County,AL,10702,210,226486,4725.24,92.72
01103,Morgan County,AL,4523,36,119679,3779.28,30.08
01105,Perry County,AL,606,6,8923,6791.44,67.24
01107,Pickens County,AL,929,18,19930,4661.31,90.32
01109,Pike County,AL,1385,14,33114,4182.52,42.28
01111,Randolph County,AL,865,16,22722,3806.88,70.42
01113,Russell County,AL,2006,3,57961,3460.95,5.18
01115,St. Clair County,AL,3240,43,89512,3619.63,48.04
01117,Shelby County,AL,7788,70,217702,3577.37,32.15
01119,Sumter County,AL,488,21,12427,3926.93,168.99
