countyFIPS,State,County Name,% of adults with a college degree or higher
01001,AL,Autauga County,27.7
01003,AL,Baldwin County,31.3
01005,AL,Barbour County,12.2
01007,AL,Bibb County,11.5
01009,AL,Blount County,12.6
01011,AL,Bullock County,13.3
01013,AL,Butler County,16.1
01015,AL,Calhoun County,18.0
01017,AL,Chambers County,13.2
01019,AL,Cherokee County,12.9
01021,AL,Chilton County,14.2
01023,AL,Choctaw County,13.0
01025,AL,Clarke County,12.6
01027,AL,Clay County,10.2
01029,AL,Cleburne County,13.7
01031,AL,Coffee County,23.4
01033,AL,Colbert County,18.7
01035,AL,Conecuh County,10.7
01037,AL,Coosa County,11.6
01039,AL,Covington County,14.9
01041,AL,Crenshaw County,15.6
01043,AL,Cullman County,13.7
01045,AL,Dale County,17.0
01047,AL,Dallas County,15.1
01049,AL,DeKalb County,12.7
01051,AL,Elmore County,24.5
01053,AL,Escambia County,12.7
01055,AL,Etowah County,17.7
01057,AL,Fayette County,12.9
01059,AL,Franklin County,12.9
01061,AL,Geneva County,11.1
01063,AL,Greene County,10.1
01065,AL,Hale County,14.1
01067,AL,Henry County,18.0
01069,AL,Houston County,21.0
01071,AL,Jackson County,14.2
01073,AL,Jefferson County,32.4
01075,AL,Lamar County,12.5
01077,AL,Lauderdale County,23.9
01079,AL,Lawrence County,11.7
01081,AL,Lee County,34.1
01083,AL,Limestone County,25.5
01085,AL,Lowndes County,14.1
01087,AL,Macon County,20.7
01089,AL,Madison County,41.7
01091,AL,Marengo County,15.4
01093,AL,Marion County,13.1
01095,AL,Marshall County,19.2
01097,AL,Mobile County,22.9
01099,AL,Monroe County,14.1
01101,AL,Montgomery County,32.1
01103,AL,Morgan County,21.7
01105,AL,Perry County,15.7
01107,AL,Pickens County,13.5
01109,AL,Pike County,23.6
01111,AL,Randolph County,14.9
01113,AL,Russell County,16.5
01115,AL,St. Clair County,16.5
01117,AL,Shelby County,42.1
01119,AL,Sumter County,21.8
01121,AL,Talladega County,14.3
01123,AL,Tallapoosa County,18.3
01125,AL,Tuscaloosa County,30.3
01127,AL,Walker County,11.6
01129,AL,Washington County,11.1
01131,AL,Wilcox County,12.5
01133,AL,Winston County,13.5
02013,AK,Aleutians East Borough,12.7
02016,AK,Aleutians West Census Area,16.4
02020,AK,Anchorage Municipality,35.3
02050,AK,Bethel Census Area,12.3
02060,AK,Bristol Bay Borough,22.3
02068,AK,Denali Borough,43.5
02070,AK,Dillingham Census Area,19.3
02090,AK,Fairbanks North Star Borough,32.6
02100,AK,Haines Borough,37.4
02105,AK,Hoonah-Angoon Census Area,23.4
02110,AK,Juneau City and Borough,39.5
02122,AK,Kenai Peninsula Borough,23.3
02130,AK,Ketchikan Gateway Borough,24.5
02150,AK,Kodiak Island Borough,26.0
02158,AK,Kusilvak Census Area,4.8
02164,AK,Lake and Peninsula Borough,15.8
02170,AK,Matanuska-Susitna Borough,21.2
02180,AK,Nome Census Area,14.6
02185,AK,North Slope Borough,16.6
02188,AK,Northwest Arctic Borough,11.7
02195,AK,Petersburg Census Area,27.6
02198,AK,Prince of Wales-Hyder Census Area,17.6
02220,AK,Sitka City and Borough,32.6
02230,AK,Skagway Municipality,33.7
02240,AK,Southeast Fairbanks Census Area,19.1
02261,AK,Valdez-Cordova Census Area,30.6
02275,AK,Wrangell City and Borough,20.7
02282,AK,Yakutat City and Borough,20.0
02290,AK,Yukon-Koyukuk Census Area,13.4
04001,AZ,Apache County,11.7
04003,AZ,Cochise County,23.0
04005,AZ,Coconino County,35.6
04007,AZ,Gila County,18.5
04009,AZ,Graham County,15.3
04011,AZ,Greenlee County,11.9
04012,AZ,La Paz County,12.4
04013,AZ,Maricopa County,32.0
04015,AZ,Mohave County,12.9
04017,AZ,Navajo County,15.8
04019,AZ,Pima County,31.9
04021,AZ,Pinal County,19.0
04023,AZ,Santa Cruz County,21.0
04025,AZ,Yavapai County,25.2
04027,AZ,Yuma County,14.8
05001,AR,Arkansas County,15.5
05003,AR,Ashley County,13.2
05005,AR,Baxter County,18.3
05007,AR,Benton County,32.4
05009,AR,Boone County,16.0
05011,AR,Bradley County,15.2
05013,AR,Calhoun County,12.1
05015,AR,Carroll County,20.4
05017,AR,Chicot County,14.7
05019,AR,Clark County,27.6
05021,AR,Clay County,11.6
05023,AR,Cleburne County,14.9
05025,AR,Cleveland County,16.2
05027,AR,Columbia County,20.6
05029,AR,Conway County,16.0
05031,AR,Craighead County,26.3
05033,AR,Crawford County,15.3
05035,AR,Crittenden County,18.0
05037,AR,Cross County,15.4
05039,AR,Dallas County,13.7
05041,AR,Desha County,12.4
05043,AR,Drew County,20.6
05045,AR,Faulkner County,30.0
05047,AR,Franklin County,11.8
05049,AR,Fulton County,11.8
05051,AR,Garland County,20.2
05053,AR,Grant County,18.3
05055,AR,Greene County,15.9
05057,AR,Hempstead County,15.1
05059,AR,Hot Spring County,14.7
05061,AR,Howard County,14.7
05063,AR,Independence County,18.9
05065,AR,Izard County,13.8
05067,AR,Jackson County,10.2
05069,AR,Jefferson County,17.8
05071,AR,Johnson County,15.8
05073,AR,Lafayette County,16.5
05075,AR,Lawrence County,15.0
05077,AR,Lee County,8.9
05079,AR,Lincoln County,8.9
05081,AR,Little River County,11.4
05083,AR,Logan County,12.1
05085,AR,Lonoke County,20.3
05087,AR,Madison County,12.5
05089,AR,Marion County,17.2
05091,AR,Miller County,16.6
05093,AR,Mississippi County,12.8
05095,AR,Monroe County,10.5
05097,AR,Montgomery County,10.8
05099,AR,Nevada County,15.4
05101,AR,Newton County,16.2
05103,AR,Ouachita County,16.0
05105,AR,Perry County,11.9
05107,AR,Phillips County,14.0
05109,AR,Pike County,14.7
05111,AR,Poinsett County,10.1
05113,AR,Polk County,13.3
05115,AR,Pope County,22.0
05117,AR,Prairie County,15.1
05119,AR,Pulaski County,34.1
05121,AR,Randolph County,14.0
05123,AR,St. Francis County,10.6
05125,AR,Saline County,26.1
05127,AR,Scott County,9.1
05129,AR,Searcy County,12.5
05131,AR,Sebastian County,19.7
05133,AR,Sevier County,11.5
05135,AR,Sharp County,11.3
05137,AR,Stone County,12.8
05139,AR,Union County,20.8
05141,AR,Van Buren County,14.1
05143,AR,Washington County,32.8
05145,AR,White County,21.4
05147,AR,Woodruff County,12.0
05149,AR,Yell County,13.5
06001,CA,Alameda County,46.0
06003,CA,Alpine County,30.0
06005,CA,Amador County,20.3
06007,CA,Butte County,26.5
06009,CA,Calaveras County,18.7
06011,CA,Colusa County,15.4
06013,CA,Contra Costa County,41.7
06015,CA,Del Norte County,14.3
06017,CA,El Dorado County,33.7
06019,CA,Fresno County,20.7
06021,CA,Glenn County,13.9
06023,CA,Humboldt County,29.8
06025,CA,Imperial County,14.5
06027,CA,Inyo County,26.1
06029,CA,Kern County,16.1
06031,CA,Kings County,13.5
06033,CA,Lake County,15.8
06035,CA,Lassen County,12.0
06037,CA,Los Angeles County,31.8
06039,CA,Madera County,14.5
06041,CA,Marin County,58.8
06043,CA,Mariposa County,23.4
06045,CA,Mendocino County,24.7
06047,CA,Merced County,14.0
06049,CA,Modoc County,15.9
06051,CA,Mono County,30.6
06053,CA,Monterey County,24.5
06055,CA,Napa County,34.9
06057,CA,Nevada County,36.6
06059,CA,Orange County,39.9
06061,CA,Placer County,38.6
06063,CA,Plumas County,23.5
06065,CA,Riverside County,21.8
06067,CA,Sacramento County,30.4
06069,CA,San Benito County,19.7
06071,CA,San Bernardino County,20.3
06073,CA,San Diego County,38.1
06075,CA,San Francisco County,57.1
06077,CA,San Joaquin County,18.4
06079,CA,San Luis Obispo County,34.6
06081,CA,San Mateo County,49.9
06083,CA,Santa Barbara County,33.8
06085,CA,Santa Clara County,51.3
06087,CA,Santa Cruz County,40.0
06089,CA,Shasta County,22.2
06091,CA,Sierra County,18.7
06093,CA,Siskiyou County,22.5
06095,CA,Solano County,26.2
06097,CA,Sonoma County,34.9
06099,CA,Stanislaus County,16.9
06101,CA,Sutter County,17.7
06103,CA,Tehama County,15.5
06105,CA,Trinity County,19.7
06107,CA,Tulare County,14.3
06109,CA,Tuolumne County,20.0
06111,CA,Ventura County,33.1
06113,CA,Yolo County,41.6
06115,CA,Yuba County,16.7
08001,CO,Adams County,23.6
08003,CO,Alamosa County,26.1
08005,CO,Arapahoe County,42.2
08007,CO,Archuleta County,38.9
08009,CO,Baca County,22.1
08011,CO,Bent County,12.4
08013,CO,Boulder County,60.8
08014,CO,Broomfield County,55.5
08015,CO,Chaffee County,33.5
08017,CO,Cheyenne County,20.0
08019,CO,Clear Creek County,46.5
08021,CO,Conejos County,20.2
08023,CO,Costilla County,19.1
08025,CO,Crowley County,9.6
08027,CO,Custer County,36.9
08029,CO,Delta County,21.2
08031,CO,Denver County,47.9
08033,CO,Dolores County,21.3
08035,CO,Douglas County,57.9
08037,CO,Eagle County,48.1
08039,CO,Elbert County,35.9
08041,CO,El Paso County,37.9
08043,CO,Fremont County,18.2
08045,CO,Garfield County,30.0
08047,CO,Gilpin County,38.7
08049,CO,Grand County,37.8
08051,CO,Gunnison County,55.3
08053,CO,Hinsdale County,43.9
08055,CO,Huerfano County,21.4
08057,CO,Jackson County,16.8
08059,CO,Jefferson County,44.1
08061,CO,Kiowa County,21.5
08063,CO,Kit Carson County,18.9
08065,CO,Lake County,34.0
08067,CO,La Plata County,43.9
08069,CO,Larimer County,46.3
08071,CO,Las Animas County,19.7
08073,CO,Lincoln County,12.8
08075,CO,Logan County,20.5
08077,CO,Mesa County,27.4
08079,CO,Mineral County,39.9
08081,CO,Moffat County,17.1
08083,CO,Montezuma County,28.6
08085,CO,Montrose County,23.9
08087,CO,Morgan County,17.6
08089,CO,Otero County,17.7
08091,CO,Ouray County,48.6
08093,CO,Park County,30.2
08095,CO,Phillips County,25.5
08097,CO,Pitkin County,63.1
08099,CO,Prowers County,17.4
08101,CO,Pueblo County,22.0
08103,CO,Rio Blanco County,20.2
08105,CO,Rio Grande County,23.7
08107,CO,Routt County,50.4
08109,CO,Saguache County,22.9
08111,CO,San Juan County,34.5
08113,CO,San Miguel County,56.7
08115,CO,Sedgwick County,20.8
08117,CO,Summit County,51.0
08119,CO,Teller County,34.0
08121,CO,Washington County,16.2
08123,CO,Weld County,26.7
08125,CO,Yuma County,22.1
09001,CT,Fairfield County,47.4
09003,CT,Hartford County,37.8
09005,CT,Litchfield County,35.1
09007,CT,Middlesex County,41.5
09009,CT,New Haven County,34.9
09011,CT,New London County,33.3
09013,CT,Tolland County,41.2
09015,CT,Windham County,24.1
10001,DE,Kent County,23.6
10003,DE,New Castle County,35.9
10005,DE,Sussex County,26.5
11001,DC,District of Columbia,57.6
12001,FL,Alachua County,42.5
12003,FL,Baker County,13.4
12005,FL,Bay County,22.8
12007,FL,Bradford County,10.6
12009,FL,Brevard County,29.3
12011,FL,Broward County,31.9
12013,FL,Calhoun County,9.9
12015,FL,Charlotte County,23.2
12017,FL,Citrus County,17.6
12019,FL,Clay County,24.1
12021,FL,Collier County,36.2
12023,FL,Columbia County,15.6
12027,FL,DeSoto County,11.4
12029,FL,Dixie County,9.4
12031,FL,Duval County,29.2
12033,FL,Escambia County,26.4
12035,FL,Flagler County,24.4
12037,FL,Franklin County,17.1
12039,FL,Gadsden County,16.7
12041,FL,Gilchrist County,14.2
12043,FL,Glades County,9.9
12045,FL,Gulf County,17.7
12047,FL,Hamilton County,9.3
12049,FL,Hardee County,10.4
12051,FL,Hendry County,8.2
12053,FL,Hernando County,17.5
12055,FL,Highlands County,17.0
12057,FL,Hillsborough County,32.7
12059,FL,Holmes County,10.3
12061,FL,Indian River County,28.3
12063,FL,Jackson County,13.4
12065,FL,Jefferson County,22.0
12067,FL,Lafayette County,15.8
12069,FL,Lake County,22.7
12071,FL,Lee County,27.8
12073,FL,Leon County,45.7
12075,FL,Levy County,12.6
12077,FL,Liberty County,12.7
12079,FL,Madison County,13.8
12081,FL,Manatee County,29.3
12083,FL,Marion County,19.4
12085,FL,Martin County,33.0
12086,FL,Miami-Dade County,28.8
12087,FL,Monroe County,33.3
12089,FL,Nassau County,28.2
12091,FL,Okaloosa County,30.6
12093,FL,Okeechobee County,11.4
12095,FL,Orange County,33.8
12097,FL,Osceola County,20.5
12099,FL,Palm Beach County,35.7
12101,FL,Pasco County,23.4
12103,FL,Pinellas County,31.0
12105,FL,Polk County,20.0
12107,FL,Putnam County,12.4
12109,FL,St. Johns County,43.7
12111,FL,St. Lucie County,20.3
12113,FL,Santa Rosa County,28.1
12115,FL,Sarasota County,34.7
12117,FL,Seminole County,38.2
12119,FL,Sumter County,31.1
12121,FL,Suwannee County,14.7
12123,FL,Taylor County,7.4
12125,FL,Union County,8.3
12127,FL,Volusia County,23.6
12129,FL,Wakulla County,18.4
12131,FL,Walton County,28.4
12133,FL,Washington County,11.7
13001,GA,Appling County,9.7
13003,GA,Atkinson County,9.9
13005,GA,Bacon County,10.1
13007,GA,Baker County,12.3
13009,GA,Baldwin County,20.9
13011,GA,Banks County,12.8
13013,GA,Barrow County,17.6
13015,GA,Bartow County,19.5
13017,GA,Ben Hill County,12.0
13019,GA,Berrien County,11.8
13021,GA,Bibb County,25.7
13023,GA,Bleckley County,17.2
13025,GA,Brantley County,8.2
13027,GA,Brooks County,15.2
13029,GA,Bryan County,32.6
13031,GA,Bulloch County,27.4
13033,GA,Burke County,12.6
13035,GA,Butts County,11.4
13037,GA,Calhoun County,9.4
13039,GA,Camden County,24.5
13043,GA,Candler County,14.1
13045,GA,Carroll County,20.6
13047,GA,Catoosa County,20.8
13049,GA,Charlton County,10.5
13051,GA,Chatham County,33.2
13053,GA,Chattahoochee County,33.4
13055,GA,Chattooga County,9.8
13057,GA,Cherokee County,37.0
13059,GA,Clarke County,42.7
13061,GA,Clay County,7.9
13063,GA,Clayton County,19.5
13065,GA,Clinch County,11.1
13067,GA,Cobb County,46.5
13069,GA,Coffee County,13.2
13071,GA,Colquitt County,12.5
13073,GA,Columbia County,35.1
13075,GA,Cook County,15.5
13077,GA,Coweta County,29.8
13079,GA,Crawford County,10.3
13081,GA,Crisp County,13.7
13083,GA,Dade County,13.9
13085,GA,Dawson County,30.4
13087,GA,Decatur County,14.6
