,Areaname,Land Area (sq. mi)
01001,"Autauga, AL",594.44
01003,"Baldwin, AL",1589.78
01005,"Barbour, AL",884.88
01007,"Bibb, AL",622.58
01009,"Blount, AL",644.78
01011,"Bullock, AL",622.81
01013,"Butler, AL",776.83
01015,"Calhoun, AL",605.87
01017,"Chambers, AL",596.53
01019,"Cherokee, AL",553.7
01021,"Chilton, AL",692.85
01023,"Choctaw, AL",913.5
01025,"Clarke, AL",1238.47
01027,"Clay, AL",603.96
01029,"Cleburne, AL",560.1
01031,"Coffee, AL",678.97
01033,"Colbert, AL",592.62
01035,"Conecuh, AL",850.16
01037,"Coosa, AL",650.93
01039,"Covington, AL",1030.46
01041,"Crenshaw, AL",608.84
01043,"Cullman, AL",734.84
01045,"Dale, AL",561.15
01047,"Dallas, AL",978.7
01049,"DeKalb, AL",777.09
01051,"Elmore, AL",618.49
01053,"Escambia, AL",945.08
01055,"Etowah, AL",534.99
01057,"Fayette, AL",627.66
01059,"Franklin, AL",633.82
01061,"Geneva, AL",574.41
01063,"Greene, AL",647.11
01065,"Hale, AL",643.94
01067,"Henry, AL",561.75
01069,"Houston, AL",579.82
01071,"Jackson, AL",1077.87
01073,"Jefferson, AL",1111.28
01075,"Lamar, AL",604.85
01077,"Lauderdale, AL",667.7
01079,"Lawrence, AL",690.68
01081,"Lee, AL",607.54
01083,"Limestone, AL",559.94
01085,"Lowndes, AL",715.91
01087,"Macon, AL",608.89
01089,"Madison, AL",801.59
01091,"Marengo, AL",976.88
01093,"Marion, AL",742.29
01095,"Marshall, AL",565.84
01097,"Mobile, AL",1229.44
01099,"Monroe, AL",1025.68
01101,"Montgomery, AL",784.25
01103,"Morgan, AL",579.34
01105,"Perry, AL",719.66
01107,"Pickens, AL",881.41
01109,"Pike, AL",672.09
01111,"Randolph, AL",580.55
01113,"Russell, AL",641.14
01115,"St. Clair, AL",631.9
01117,"Shelby, AL",784.93
01119,"Sumter, AL",903.89
01121,"Talladega, AL",736.78
01123,"Tallapoosa, AL",716.52
01125,"Tuscaloosa, AL",1321.76
01127,"Walker, AL",791.19
01129,"Washington, AL",1080.21
01131,"Wilcox, AL",888.5
01133,"Winston, AL",612.98
02013,"Aleutians East, AK",6981.94
02016,"Aleutians West, AK",4390.28
02020,"Anchorage, AK",1704.68
02050,"Bethel, AK",40570.0
02060,"Bristol Bay, AK",503.84
02068,"Denali, AK",12751.41
02070,"Dillingham, AK",18568.78
02090,"Fairbanks North Star, AK",7338.21
02100,"Haines, AK",2318.6
02105,"Hoonah-Angoon, AK",7524.92
02110,"Juneau, AK",2701.93
02122,"Kenai Peninsula, AK",16075.33
02130,"Ketchikan Gateway, AK",4858.41
02150,"Kodiak Island, AK",6549.58
02164,"Lake and Peninsula, AK",23652.01
02170,"Matanuska-Susitna, AK",24607.9
02180,"Nome, AK",22961.76
02185,"North Slope, AK",88695.41
02188,"Northwest Arctic, AK",35572.58
02195,"Petersburg, AK",3281.98
02198,"Prince of Wales-Hyder, AK",3922.87
02220,"Sitka, AK",2870.34
02230,"Skagway, AK",452.33
02240,"Southeast Fairbanks, AK",24768.81
02261,"Valdez-Cordova, AK",34239.88
02158,"Wade Hampton, AK",17081.43
02275,"Wrangell, AK",2541.48
02282,"Yakutat, AK",7649.46
02290,"Yukon-Koyukuk, AK",145504.79
04001,"Apache, AZ",11197.52
04003,"Cochise, AZ",6165.69
04005,"Coconino, AZ",18618.89
04007,"Gila, AZ",4757.93
04009,"Graham, AZ",4622.6
04011,"Greenlee, AZ",1843.13
04012,"La Paz, AZ",4499.63
04013,"Maricopa, AZ",9200.14
04015,"Mohave, AZ",13311.08
04017,"Navajo, AZ",9950.42
04019,"Pima, AZ",9187.04
04021,"Pinal, AZ",5365.61
04023,"Santa Cruz, AZ",1236.92
04025,"Yavapai, AZ",8123.5
04027,"Yuma, AZ",5513.99
05001,"Arkansas, AR",988.77
05003,"Ashley, AR",925.35
05005,"Baxter, AR",554.28
05007,"Benton, AR",847.36
05009,"Boone, AR",590.23
05011,"Bradley, AR",649.23
05013,"Calhoun, AR",628.58
05015,"Carroll, AR",630.09
05017,"Chicot, AR",644.3
05019,"Clark, AR",866.07
05021,"Clay, AR",639.47
05023,"Cleburne, AR",553.69
05025,"Cleveland, AR",597.78
05027,"Columbia, AR",766.05
05029,"Conway, AR",552.25
05031,"Craighead, AR",707.21
05033,"Crawford, AR",593.09
05035,"Crittenden, AR",609.76
05037,"Cross, AR",616.38
05039,"Dallas, AR",667.39
05041,"Desha, AR",768.15
05043,"Drew, AR",828.36
05045,"Faulkner, AR",647.88
05047,"Franklin, AR",608.86
05049,"Fulton, AR",618.19
05051,"Garland, AR",677.78
05053,"Grant, AR",631.81
05055,"Greene, AR",577.7
05057,"Hempstead, AR",727.52
05059,"Hot Spring, AR",615.2
05061,"Howard, AR",588.55
05063,"Independence, AR",763.95
05065,"Izard, AR",580.58
05067,"Jackson, AR",633.94
05069,"Jefferson, AR",870.75
05071,"Johnson, AR",659.8
05073,"Lafayette, AR",528.27
05075,"Lawrence, AR",587.61
05077,"Lee, AR",602.62
05079,"Lincoln, AR",561.52
05081,"Little River, AR",532.25
05083,"Logan, AR",708.13
05085,"Lonoke, AR",770.73
05087,"Madison, AR",834.26
05089,"Marion, AR",597.01
05091,"Miller, AR",625.58
05093,"Mississippi, AR",900.57
05095,"Monroe, AR",607.12
05097,"Montgomery, AR",779.88
05099,"Nevada, AR",617.84
05101,"Newton, AR",820.9
05103,"Ouachita, AR",732.78
05105,"Perry, AR",551.4
05107,"Phillips, AR",695.66
05109,"Pike, AR",600.62
05111,"Poinsett, AR",758.39
05113,"Polk, AR",857.68
05115,"Pope, AR",812.55
05117,"Prairie, AR",647.96
05119,"Pulaski, AR",759.76
05121,"Randolph, AR",652.19
05123,"St. Francis, AR",634.77
05125,"Saline, AR",723.6
05127,"Scott, AR",892.32
05129,"Searcy, AR",666.1
05131,"Sebastian, AR",531.91
05133,"Sevier, AR",565.13
05135,"Sharp, AR",604.44
05137,"Stone, AR",606.41
05139,"Union, AR",1039.21
05141,"Van Buren, AR",708.14
05143,"Washington, AR",941.97
05145,"White, AR",1035.08
05147,"Woodruff, AR",586.79
05149,"Yell, AR",929.98
06001,"Alameda, CA",739.02
06003,"Alpine, CA",738.33
06005,"Amador, CA",594.58
06007,"Butte, CA",1636.46
06009,"Calaveras, CA",1020.01
06011,"Colusa, CA",1150.73
06013,"Contra Costa, CA",715.94
06015,"Del Norte, CA",1006.37
06017,"El Dorado, CA",1707.88
06019,"Fresno, CA",5957.99
06021,"Glenn, CA",1313.95
06023,"Humboldt, CA",3567.99
06025,"Imperial, CA",4176.6
06027,"Inyo, CA",10180.88
06029,"Kern, CA",8131.92
06031,"Kings, CA",1389.42
06033,"Lake, CA",1256.46
06035,"Lassen, CA",4541.18
06037,"Los Angeles, CA",4057.88
06039,"Madera, CA",2137.07
06041,"Marin, CA",520.31
06043,"Mariposa, CA",1448.82
06045,"Mendocino, CA",3506.34
06047,"Merced, CA",1934.97
06049,"Modoc, CA",3917.77
06051,"Mono, CA",3048.98
06053,"Monterey, CA",3280.6
06055,"Napa, CA",748.36
06057,"Nevada, CA",957.77
06059,"Orange, CA",790.57
06061,"Placer, CA",1407.01
06063,"Plumas, CA",2553.04
06065,"Riverside, CA",7206.48
06067,"Sacramento, CA",964.64
06069,"San Benito, CA",1388.71
06071,"San Bernardino, CA",20056.94
06073,"San Diego, CA",4206.63
06075,"San Francisco, CA",46.87
06077,"San Joaquin, CA",1391.32
06079,"San Luis Obispo, CA",3298.57
06081,"San Mateo, CA",448.41
06083,"Santa Barbara, CA",2735.09
06085,"Santa Clara, CA",1290.1
06087,"Santa Cruz, CA",445.17
06089,"Shasta, CA",3775.4
06091,"Sierra, CA",953.21
06093,"Siskiyou, CA",6277.89
06095,"Solano, CA",821.77
06097,"Sonoma, CA",1575.85
06099,"Stanislaus, CA",1494.83
06101,"Sutter, CA",602.41
06103,"Tehama, CA",2949.71
06105,"Trinity, CA",3179.25
06107,"Tulare, CA",4824.22
06109,"Tuolumne, CA",2220.88
06111,"Ventura, CA",1843.13
06113,"Yolo, CA",1014.69
06115,"Yuba, CA",631.84
08001,"Adams, CO",1167.65
08003,"Alamosa, CO",722.64
08005,"Arapahoe, CO",798.1
08007,"Archuleta, CO",1350.18
08009,"Baca, CO",2554.97
08011,"Bent, CO",1512.86
08013,"Boulder, CO",726.29
08014,"Broomfield, CO",33.03
08015,"Chaffee, CO",1013.4
08017,"Cheyenne, CO",1778.28
08019,"Clear Creek, CO",395.23
08021,"Conejos, CO",1287.39
08023,"Costilla, CO",1226.95
08025,"Crowley, CO",787.42
08027,"Custer, CO",738.63
08029,"Delta, CO",1142.05
08031,"Denver, CO",153.0
08033,"Dolores, CO",1067.05
08035,"Douglas, CO",840.25
08037,"Eagle, CO",1684.53
08039,"Elbert, CO",1850.85
08041,"El Paso, CO",2126.8
08043,"Fremont, CO",1533.07
08045,"Garfield, CO",2947.56
08047,"Gilpin, CO",149.9
08049,"Grand, CO",1846.33
08051,"Gunnison, CO",3239.1
08053,"Hinsdale, CO",1117.25
08055,"Huerfano, CO",1591.0
08057,"Jackson, CO",1613.72
08059,"Jefferson, CO",764.21
08061,"Kiowa, CO",1767.77
08063,"Kit Carson, CO",2160.82
08065,"Lake, CO",376.91
08067,"La Plata, CO",1692.08
08069,"Larimer, CO",2596.0
08071,"Las Animas, CO",4772.67
08073,"Lincoln, CO",2577.63
08075,"Logan, CO",1838.55
08077,"Mesa, CO",3328.97
08079,"Mineral, CO",875.67
08081,"Moffat, CO",4743.29
08083,"Montezuma, CO",2029.53
08085,"Montrose, CO",2240.7
08087,"Morgan, CO",1280.43
08089,"Otero, CO",1261.96
08091,"Ouray, CO",541.59
08093,"Park, CO",2193.85
08095,"Phillips, CO",687.93
08097,"Pitkin, CO",970.7
08099,"Prowers, CO",1638.4
08101,"Pueblo, CO",2386.1
08103,"Rio Blanco, CO",3220.93
08105,"Rio Grande, CO",911.96
08107,"Routt, CO",2362.03
08109,"Saguache, CO",3168.53
08111,"San Juan, CO",387.49
08113,"San Miguel, CO",1286.61
08115,"Sedgwick, CO",548.04
08117,"Summit, CO",608.36
08119,"Teller, CO",557.06
08121,"Washington, CO",2518.03
08123,"Weld, CO",3987.24
08125,"Yuma, CO",2364.41
09001,"Fairfield, CT",624.89
09003,"Hartford, CT",735.1
09005,"Litchfield, CT",920.56
09007,"Middlesex, CT",369.3
09009,"New Haven, CT",604.51
09011,"New London, CT",664.88
09013,"Tolland, CT",410.21
09015,"Windham, CT",512.91
10001,"Kent, DE",586.18
10003,"New Castle, DE",426.29
10005,"Sussex, DE",936.08
11001,District of Columbia,61.05
12001,"Alachua, FL",875.02
12003,"Baker, FL",585.23
12005,"Bay, FL",758.46
12007,"Bradford, FL",293.96
12009,"Brevard, FL",1015.66
12011,"Broward, FL",1209.79
12013,"Calhoun, FL",567.33
12015,"Charlotte, FL",680.28
12017,"Citrus, FL",581.7
12019,"Clay, FL",604.36
12021,"Collier, FL",1998.32
12023,"Columbia, FL",797.57
12027,"DeSoto, FL",637.06
12029,"Dixie, FL",705.05
12031,"Duval, FL",762.19
12033,"Escambia, FL",656.46
12035,"Flagler, FL",485.46
12037,"Franklin, FL",534.73
12039,"Gadsden, FL",516.33
12041,"Gilchrist, FL",349.68
12043,"Glades, FL",806.01
12045,"Gulf, FL",564.01
12047,"Hamilton, FL",513.79
12049,"Hardee, FL",637.78
12051,"Hendry, FL",1152.75
12053,"Hernando, FL",472.54
12055,"Highlands, FL",1016.62
12057,"Hillsborough, FL",1020.21
12059,"Holmes, FL",478.78
12061,"Indian River, FL",502.87
12063,"Jackson, FL",917.76
12065,"Jefferson, FL",598.1
12067,"Lafayette, FL",543.41
12069,"Lake, FL",938.38
12071,"Lee, FL",784.51
12073,"Leon, FL",666.85
12075,"Levy, FL",1118.21
12077,"Liberty, FL",835.56
12079,"Madison, FL",695.95
12081,"Manatee, FL",742.93
12083,"Marion, FL",1584.55
12085,"Martin, FL",543.46
12086,"Miami-Dade, FL",1897.72
12087,"Monroe, FL",983.28
12089,"Nassau, FL",648.64
12091,"Okaloosa, FL",930.25
12093,"Okeechobee, FL",768.91
12095,"Orange, FL",903.43
12097,"Osceola, FL",1327.45
12099,"Palm Beach, FL",1969.76
12101,"Pasco, FL",746.89
12103,"Pinellas, FL",273.8
12105,"Polk, FL",1797.84
12107,"Putnam, FL",727.62
12109,"St. Johns, FL",600.66
12111,"St. Lucie, FL",571.93
12113,"Santa Rosa, FL",1011.61
12115,"Sarasota, FL",555.87
12117,"Seminole, FL",309.22
12119,"Sumter, FL",546.93
12121,"Suwannee, FL",688.55
12123,"Taylor, FL",1043.31
12125,"Union, FL",243.56
12127,"Volusia, FL",1101.03
12129,"Wakulla, FL",606.42
12131,"Walton, FL",1037.63
12133,"Washington, FL",582.8
13001,"Appling, GA",507.08
13003,"Atkinson, GA",339.38
13005,"Bacon, GA",258.58
13007,"Baker, GA",341.94
13009,"Baldwin, GA",257.84
13011,"Banks, GA",232.09
13013,"Barrow, GA",160.31
13015,"Bartow, GA",459.54
13017,"Ben Hill, GA",250.12
13019,"Berrien, GA",451.9
13021,"Bibb, GA",249.76
13023,"Bleckley, GA",215.87
13025,"Brantley, GA",442.36
13027,"Brooks, GA",493.05
13029,"Bryan, GA",435.97
13031,"Bulloch, GA",672.81
13033,"Burke, GA",826.97
13035,"Butts, GA",184.39
13037,"Calhoun, GA",280.37
13039,"Camden, GA",613.03
13043,"Candler, GA",243.04
13045,"Carroll, GA",499.08
13047,"Catoosa, GA",162.16
13049,"Charlton, GA",773.58
13051,"Chatham, GA",426.44
13053,"Chattahoochee, GA",248.74
13055,"Chattooga, GA",313.34
13057,"Cherokee, GA",421.67
13059,"Clarke, GA",119.2
13061,"Clay, GA",195.38
13063,"Clayton, GA",141.57
13065,"Clinch, GA",800.22
13067,"Cobb, GA",339.55
13069,"Coffee, GA",575.1
13071,"Colquitt, GA",544.15
13073,"Columbia, GA",290.09
13075,"Cook, GA",227.16
13077,"Coweta, GA",440.89
13079,"Crawford, GA",324.89
13081,"Crisp, GA",272.58
13083,"Dade, GA",173.98
13085,"Dawson, GA",210.83
13087,"Decatur, GA",597.14
13089,"DeKalb, GA",267.58
13091,"Dodge, GA",495.89
