countyFIPS,State,County Name,Median Age
01001,Alabama,Autauga County,37.8
01003,Alabama,Baldwin County,42.8
01005,Alabama,Barbour County,39.9
01007,Alabama,Bibb County,39.9
01009,Alabama,Blount County,40.8
01011,Alabama,Bullock County,39.6
01013,Alabama,Butler County,40.7
01015,Alabama,Calhoun County,39.7
01017,Alabama,Chambers County,43.0
01019,Alabama,Cherokee County,45.9
01021,Alabama,Chilton County,38.6
01023,Alabama,Choctaw County,46.1
01025,Alabama,Clarke County,42.3
01027,Alabama,Clay County,43.7
01029,Alabama,Cleburne County,42.5
01031,Alabama,Coffee County,39.3
01033,Alabama,Colbert County,42.7
01035,Alabama,Conecuh County,44.8
01037,Alabama,Coosa County,46.9
01039,Alabama,Covington County,43.9
01041,Alabama,Crenshaw County,41.5
01043,Alabama,Cullman County,40.6
01045,Alabama,Dale County,37.5
01047,Alabama,Dallas County,39.5
01049,Alabama,DeKalb County,39.3
01051,Alabama,Elmore County,38.6
01053,Alabama,Escambia County,39.7
01055,Alabama,Etowah County,41.3
01057,Alabama,Fayette County,43.8
01059,Alabama,Franklin County,37.6
01061,Alabama,Geneva County,42.4
01063,Alabama,Greene County,42.5
01065,Alabama,Hale County,39.2
01067,Alabama,Henry County,44.1
01069,Alabama,Houston County,39.8
01071,Alabama,Jackson County,43.3
01073,Alabama,Jefferson County,37.7
01075,Alabama,Lamar County,44.5
01077,Alabama,Lauderdale County,41.4
01079,Alabama,Lawrence County,42.2
01081,Alabama,Lee County,31.4
01083,Alabama,Limestone County,39.5
01085,Alabama,Lowndes County,41.6
01087,Alabama,Macon County,38.0
01089,Alabama,Madison County,38.5
01091,Alabama,Marengo County,42.7
01093,Alabama,Marion County,44.3
01095,Alabama,Marshall County,38.7
01097,Alabama,Mobile County,37.6
01099,Alabama,Monroe County,42.3
01101,Alabama,Montgomery County,36.2
01103,Alabama,Morgan County,40.4
01105,Alabama,Perry County,37.7
01107,Alabama,Pickens County,42.4
01109,Alabama,Pike County,30.8
01111,Alabama,Randolph County,42.7
01113,Alabama,Russell County,35.9
01115,Alabama,St. Clair County,40.3
01117,Alabama,Shelby County,38.9
01119,Alabama,Sumter County,35.8
01121,Alabama,Talladega County,41.1
01123,Alabama,Tallapoosa County,43.7
01125,Alabama,Tuscaloosa County,32.7
01127,Alabama,Walker County,42.4
01129,Alabama,Washington County,43.6
01131,Alabama,Wilcox County,40.8
01133,Alabama,Winston County,44.9
02013,Alaska,Aleutians East Borough,42.7
02016,Alaska,Aleutians West Census Area,37.6
02020,Alaska,Anchorage Municipality,33.2
02050,Alaska,Bethel Census Area,27.1
02060,Alaska,Bristol Bay Borough,41.8
02068,Alaska,Denali Borough,43.1
02070,Alaska,Dillingham Census Area,30.3
02090,Alaska,Fairbanks North Star Borough,31.1
02100,Alaska,Haines Borough,44.9
02105,Alaska,Hoonah-Angoon Census Area,50.2
02110,Alaska,Juneau City and Borough,38.1
02122,Alaska,Kenai Peninsula Borough,40.8
02130,Alaska,Ketchikan Gateway Borough,39.6
02150,Alaska,Kodiak Island Borough,33.5
02158,Alaska,Kusilvak Census Area,23.8
02164,Alaska,Lake and Peninsula Borough,33.5
02170,Alaska,Matanuska-Susitna Borough,35.0
02180,Alaska,Nome Census Area,28.1
02185,Alaska,North Slope Borough,34.8
02188,Alaska,Northwest Arctic Borough,27.2
02195,Alaska,Petersburg Borough,41.0
02198,Alaska,Prince of Wales-Hyder Census Area,41.0
02220,Alaska,Sitka City and Borough,38.8
02230,Alaska,Skagway Municipality,38.5
02240,Alaska,Southeast Fairbanks Census Area,36.3
02261,Alaska,Valdez-Cordova Census Area,39.0
02275,Alaska,Wrangell City and Borough,49.5
02282,Alaska,Yakutat City and Borough,36.4
02290,Alaska,Yukon-Koyukuk Census Area,35.3
04001,Arizona,Apache County,34.7
04003,Arizona,Cochise County,40.6
04005,Arizona,Coconino County,30.6
04007,Arizona,Gila County,49.7
04009,Arizona,Graham County,33.3
04011,Arizona,Greenlee County,34.2
04012,Arizona,La Paz County,56.0
04013,Arizona,Maricopa County,36.1
04015,Arizona,Mohave County,50.9
04017,Arizona,Navajo County,36.4
04019,Arizona,Pima County,38.3
04021,Arizona,Pinal County,38.9
04023,Arizona,Santa Cruz County,36.6
04025,Arizona,Yavapai County,52.9
04027,Arizona,Yuma County,34.3
05001,Arkansas,Arkansas County,41.4
05003,Arkansas,Ashley County,41.7
05005,Arkansas,Baxter County,52.1
05007,Arkansas,Benton County,35.3
05009,Arkansas,Boone County,42.4
05011,Arkansas,Bradley County,40.2
05013,Arkansas,Calhoun County,45.5
05015,Arkansas,Carroll County,44.8
05017,Arkansas,Chicot County,42.7
05019,Arkansas,Clark County,34.1
05021,Arkansas,Clay County,43.0
05023,Arkansas,Cleburne County,49.4
05025,Arkansas,Cleveland County,42.7
05027,Arkansas,Columbia County,36.0
05029,Arkansas,Conway County,41.7
05031,Arkansas,Craighead County,34.1
05033,Arkansas,Crawford County,38.7
05035,Arkansas,Crittenden County,35.1
05037,Arkansas,Cross County,41.2
05039,Arkansas,Dallas County,43.7
05041,Arkansas,Desha County,39.1
05043,Arkansas,Drew County,37.0
05045,Arkansas,Faulkner County,32.5
05047,Arkansas,Franklin County,41.3
05049,Arkansas,Fulton County,48.1
05051,Arkansas,Garland County,44.9
05053,Arkansas,Grant County,40.4
05055,Arkansas,Greene County,37.9
05057,Arkansas,Hempstead County,39.9
05059,Arkansas,Hot Spring County,41.3
05061,Arkansas,Howard County,38.8
05063,Arkansas,Independence County,39.4
05065,Arkansas,Izard County,48.0
05067,Arkansas,Jackson County,39.9
05069,Arkansas,Jefferson County,38.8
05071,Arkansas,Johnson County,38.0
05073,Arkansas,Lafayette County,46.3
05075,Arkansas,Lawrence County,41.1
05077,Arkansas,Lee County,41.8
05079,Arkansas,Lincoln County,38.6
05081,Arkansas,Little River County,42.6
05083,Arkansas,Logan County,41.5
05085,Arkansas,Lonoke County,36.1
05087,Arkansas,Madison County,42.6
05089,Arkansas,Marion County,51.7
05091,Arkansas,Miller County,38.9
05093,Arkansas,Mississippi County,36.2
05095,Arkansas,Monroe County,47.0
05097,Arkansas,Montgomery County,50.0
05099,Arkansas,Nevada County,44.8
05101,Arkansas,Newton County,49.1
05103,Arkansas,Ouachita County,42.3
05105,Arkansas,Perry County,43.5
05107,Arkansas,Phillips County,38.5
05109,Arkansas,Pike County,42.8
05111,Arkansas,Poinsett County,39.7
05113,Arkansas,Polk County,43.7
05115,Arkansas,Pope County,35.0
05117,Arkansas,Prairie County,46.2
05119,Arkansas,Pulaski County,36.9
05121,Arkansas,Randolph County,41.5
05123,Arkansas,St. Francis County,38.9
05125,Arkansas,Saline County,39.2
05127,Arkansas,Scott County,41.0
05129,Arkansas,Searcy County,47.6
05131,Arkansas,Sebastian County,37.5
05133,Arkansas,Sevier County,34.9
05135,Arkansas,Sharp County,47.4
05137,Arkansas,Stone County,49.8
05139,Arkansas,Union County,40.1
05141,Arkansas,Van Buren County,47.9
05143,Arkansas,Washington County,31.8
05145,Arkansas,White County,36.6
05147,Arkansas,Woodruff County,45.6
05149,Arkansas,Yell County,39.3
06001,California,Alameda County,37.4
06003,California,Alpine County,44.3
06005,California,Amador County,50.5
06007,California,Butte County,37.1
06009,California,Calaveras County,52.1
06011,California,Colusa County,35.1
06013,California,Contra Costa County,39.4
06015,California,Del Norte County,38.6
06017,California,El Dorado County,45.8
06019,California,Fresno County,32.0
06021,California,Glenn County,36.6
06023,California,Humboldt County,38.0
