countyFIPS,State,County Name,Poverty Rate (%),Median Household Income ($)
01001,AL,Autauga County,13.8,59338
01003,AL,Baldwin County,9.8,57588
01005,AL,Barbour County,30.9,34382
01007,AL,Bibb County,21.8,46064
01009,AL,Blount County,13.2,50412
01011,AL,Bullock County,42.5,29267
01013,AL,Butler County,24.5,37365
01015,AL,Calhoun County,19.5,45400
01017,AL,Chambers County,18.7,39917
01019,AL,Cherokee County,16.3,42132
01021,AL,Chilton County,17.3,47547
01023,AL,Choctaw County,22.1,39907
01025,AL,Clarke County,22.8,40741
01027,AL,Clay County,17.6,39201
01029,AL,Cleburne County,16,46495
01031,AL,Coffee County,13.8,55122
01033,AL,Colbert County,13.8,49055
01035,AL,Conecuh County,24.4,32613
01037,AL,Coosa County,18.9,42423
01039,AL,Covington County,19.9,40203
01041,AL,Crenshaw County,19.5,39057
01043,AL,Cullman County,14.5,45796
01045,AL,Dale County,16.2,45309
01047,AL,Dallas County,31.4,34035
01049,AL,DeKalb County,21.3,39491
01051,AL,Elmore County,11.2,60367
01053,AL,Escambia County,23.6,38418
01055,AL,Etowah County,17.5,44903
01057,AL,Fayette County,23.5,39254
01059,AL,Franklin County,19.2,39388
01061,AL,Geneva County,21.3,37823
01063,AL,Greene County,30.1,28524
01065,AL,Hale County,25.6,34724
01067,AL,Henry County,17.9,46027
01069,AL,Houston County,16.5,47993
01071,AL,Jackson County,19.7,41929
01073,AL,Jefferson County,16.1,55013
01075,AL,Lamar County,17.4,40936
01077,AL,Lauderdale County,14,48707
01079,AL,Lawrence County,19.3,43909
01081,AL,Lee County,19,48937
01083,AL,Limestone County,11.4,64863
01085,AL,Lowndes County,25.1,33973
01087,AL,Macon County,30.2,32495
01089,AL,Madison County,11.9,63755
01091,AL,Marengo County,24,37733
01093,AL,Marion County,20.2,37887
01095,AL,Marshall County,18.3,46233
01097,AL,Mobile County,20.8,43598
01099,AL,Monroe County,21.9,39556
01101,AL,Montgomery County,20.1,49640
01103,AL,Morgan County,13.2,52797
01105,AL,Perry County,35.3,26814
01107,AL,Pickens County,23.1,37586
01109,AL,Pike County,23.6,37259
01111,AL,Randolph County,19.7,40546
01113,AL,Russell County,21.7,39104
01115,AL,St. Clair County,12,57284
01117,AL,Shelby County,8,75663
01119,AL,Sumter County,34.7,27859
01121,AL,Talladega County,19.3,41630
01123,AL,Tallapoosa County,19.7,42205
01125,AL,Tuscaloosa County,16.8,52557
01127,AL,Walker County,17.9,45434
01129,AL,Washington County,17.6,44424
01131,AL,Wilcox County,33.4,25385
01133,AL,Winston County,18.6,41156
02013,AK,Aleutians East Borough,15.5,70081
02016,AK,Aleutians West Census Area,10,82633
02020,AK,Anchorage Borough,9.5,82113
02050,AK,Bethel Census Area,32.7,44304
02060,AK,Bristol Bay Borough,11.2,77257
02068,AK,Denali Borough,6.9,75477
02070,AK,Dillingham Census Area,22,54524
02090,AK,Fairbanks North Star Borough,8.6,74268
02100,AK,Haines Borough,10.5,58943
02105,AK,Hoonah-Angoon Census Area,17.2,51188
02110,AK,Juneau Borough,7.3,79173
02122,AK,Kenai Peninsula Borough,12.4,65439
02130,AK,Ketchikan Gateway Borough,9.1,68309
02150,AK,Kodiak Island Borough,8.2,74109
02158,AK,Kusilvak Census Area,35.1,32728
02164,AK,Lake and Peninsula Borough,18.2,49403
02170,AK,Matanuska-Susitna Borough,10.4,74649
02180,AK,Nome Census Area,22,55318
02185,AK,North Slope Borough,11.1,89276
02188,AK,Northwest Arctic Borough,21.1,59337
02195,AK,Petersburg Borough,7.2,66075
02198,AK,Prince of Wales-Hyder Census Area,16.5,49356
02220,AK,Sitka Borough,7.7,71825
02230,AK,Skagway Municipality,4.3,74635
02240,AK,Southeast Fairbanks Census Area,13.4,63527
02261,AK,Valdez-Cordova Census Area,9.7,68528
02275,AK,Wrangell City and Borough,11.6,57832
02282,AK,Yakutat Borough,13.1,59523
02290,AK,Yukon-Koyukuk Census Area,23.7,38912
04001,AZ,Apache County,37.3,33652
04003,AZ,Cochise County,15.1,49164
04005,AZ,Coconino County,15.9,60187
04007,AZ,Gila County,20.4,43585
04009,AZ,Graham County,20.2,50157
04011,AZ,Greenlee County,10.5,65818
04012,AZ,La Paz County,23.7,37350
04013,AZ,Maricopa County,12.3,65234
04015,AZ,Mohave County,16.8,45129
04017,AZ,Navajo County,28.5,40650
04019,AZ,Pima County,16.2,53395
04021,AZ,Pinal County,12.9,58848
04023,AZ,Santa Cruz County,24.4,40545
04025,AZ,Yavapai County,13.2,48758
04027,AZ,Yuma County,19.5,44116
05001,AR,Arkansas County,17.9,43887
05003,AR,Ashley County,19.6,41127
05005,AR,Baxter County,15.1,39686
05007,AR,Benton County,8.6,68978
05009,AR,Boone County,14.8,44482
05011,AR,Bradley County,21.7,37729
05013,AR,Calhoun County,15.7,44969
05015,AR,Carroll County,16.1,45023
05017,AR,Chicot County,31.4,31787
05019,AR,Clark County,19.9,45408
05021,AR,Clay County,20.7,37687
05023,AR,Cleburne County,14.6,44902
05025,AR,Cleveland County,15.5,47600
05027,AR,Columbia County,22.4,40909
05029,AR,Conway County,17.9,44565
05031,AR,Craighead County,17.9,45615
05033,AR,Crawford County,16,47363
05035,AR,Crittenden County,19.2,42606
05037,AR,Cross County,18,41214
05039,AR,Dallas County,21.3,37259
05041,AR,Desha County,24.3,36132
05043,AR,Drew County,19.5,42494
05045,AR,Faulkner County,15.4,53882
05047,AR,Franklin County,18.3,43696
05049,AR,Fulton County,20.6,35630
05051,AR,Garland County,20.4,43610
05053,AR,Grant County,13.1,52050
05055,AR,Greene County,16.5,46512
05057,AR,Hempstead County,20.6,38682
05059,AR,Hot Spring County,18.7,47205
05061,AR,Howard County,17.3,40199
05063,AR,Independence County,14.5,45596
05065,AR,Izard County,18.7,37828
05067,AR,Jackson County,25.6,36573
05069,AR,Jefferson County,22.2,38596
05071,AR,Johnson County,22.2,39381
05073,AR,Lafayette County,22.8,35527
05075,AR,Lawrence County,17.7,40308
05077,AR,Lee County,43,28080
05079,AR,Lincoln County,27.5,44951
05081,AR,Little River County,16,43559
05083,AR,Logan County,18.6,41471
05085,AR,Lonoke County,11.9,56651
05087,AR,Madison County,18.4,42674
05089,AR,Marion County,18.7,36581
05091,AR,Miller County,21.9,42162
05093,AR,Mississippi County,25.7,36718
05095,AR,Monroe County,26,32922
05097,AR,Montgomery County,18.8,38318
05099,AR,Nevada County,21.3,37626
05101,AR,Newton County,17.4,36078
05103,AR,Ouachita County,23.3,37624
05105,AR,Perry County,14.7,45342
05107,AR,Phillips County,35.4,29945
05109,AR,Pike County,17.8,41534
05111,AR,Poinsett County,23.7,37370
05113,AR,Polk County,20,39048
05115,AR,Pope County,16,45788
05117,AR,Prairie County,15.8,43245
05119,AR,Pulaski County,16.7,49957
05121,AR,Randolph County,17.4,37799
05123,AR,St. Francis County,35.6,33257
05125,AR,Saline County,9.7,63677
05127,AR,Scott County,20.2,35826
05129,AR,Searcy County,24.3,31659
05131,AR,Sebastian County,15.6,46843
05133,AR,Sevier County,20.1,44100
05135,AR,Sharp County,20.7,36032
05137,AR,Stone County,20.3,34009
05139,AR,Union County,18.2,45335
05141,AR,Van Buren County,16.4,40486
05143,AR,Washington County,15.2,50893
05145,AR,White County,16.6,44811
