countyFIPS,State,County Name,% Veteran
01001,Alabama,Autauga County,12.28
01003,Alabama,Baldwin County,11.94
01005,Alabama,Barbour County,7.67
01007,Alabama,Bibb County,7.15
01009,Alabama,Blount County,8.53
01011,Alabama,Bullock County,4.34
01013,Alabama,Butler County,7.6
01015,Alabama,Calhoun County,10.66
01017,Alabama,Chambers County,8.24
01019,Alabama,Cherokee County,10.14
01021,Alabama,Chilton County,8.11
01023,Alabama,Choctaw County,7.4
01025,Alabama,Clarke County,5.95
01027,Alabama,Clay County,7.46
01029,Alabama,Cleburne County,6.23
01031,Alabama,Coffee County,16.95
01033,Alabama,Colbert County,8.96
01035,Alabama,Conecuh County,7.87
01037,Alabama,Coosa County,11.76
01039,Alabama,Covington County,9.96
01041,Alabama,Crenshaw County,7.11
01043,Alabama,Cullman County,8.08
01045,Alabama,Dale County,17.77
01047,Alabama,Dallas County,6.96
01049,Alabama,DeKalb County,6.85
01051,Alabama,Elmore County,10.56
01053,Alabama,Escambia County,7.53
01055,Alabama,Etowah County,9.2
01057,Alabama,Fayette County,8.91
01059,Alabama,Franklin County,5.3
01061,Alabama,Geneva County,10.37
01063,Alabama,Greene County,6.51
01065,Alabama,Hale County,6.77
01067,Alabama,Henry County,9.09
01069,Alabama,Houston County,9.96
01071,Alabama,Jackson County,7.09
01073,Alabama,Jefferson County,7.35
01075,Alabama,Lamar County,7.09
01077,Alabama,Lauderdale County,8.38
01079,Alabama,Lawrence County,6.09
01081,Alabama,Lee County,8.0
01083,Alabama,Limestone County,9.94
01085,Alabama,Lowndes County,4.63
01087,Alabama,Macon County,9.03
01089,Alabama,Madison County,11.76
01091,Alabama,Marengo County,6.46
01093,Alabama,Marion County,6.41
01095,Alabama,Marshall County,8.57
01097,Alabama,Mobile County,8.87
01099,Alabama,Monroe County,8.87
01101,Alabama,Montgomery County,9.48
01103,Alabama,Morgan County,8.87
01105,Alabama,Perry County,5.16
01107,Alabama,Pickens County,8.08
01109,Alabama,Pike County,6.97
01111,Alabama,Randolph County,8.19
01113,Alabama,Russell County,13.13
01115,Alabama,St. Clair County,9.84
01117,Alabama,Shelby County,8.02
01119,Alabama,Sumter County,5.65
01121,Alabama,Talladega County,8.11
01123,Alabama,Tallapoosa County,9.04
01125,Alabama,Tuscaloosa County,6.42
01127,Alabama,Walker County,8.01
01129,Alabama,Washington County,8.11
01131,Alabama,Wilcox County,5.49
01133,Alabama,Winston County,8.44
02013,Alaska,Aleutians East Borough,4.33
02016,Alaska,Aleutians West Census Area,5.75
02020,Alaska,Anchorage Municipality,13.14
02050,Alaska,Bethel Census Area,5.58
02060,Alaska,Bristol Bay Borough,13.32
02068,Alaska,Denali Borough,6.16
02070,Alaska,Dillingham Census Area,4.57
02090,Alaska,Fairbanks North Star Borough,16.77
02100,Alaska,Haines Borough,6.89
02105,Alaska,Hoonah-Angoon Census Area,10.57
02110,Alaska,Juneau City and Borough,9.64
02122,Alaska,Kenai Peninsula Borough,11.32
02130,Alaska,Ketchikan Gateway Borough,10.36
02150,Alaska,Kodiak Island Borough,11.38
02158,Alaska,Kusilvak Census Area,4.66
02164,Alaska,Lake and Peninsula Borough,5.69
02170,Alaska,Matanuska-Susitna Borough,14.07
02180,Alaska,Nome Census Area,6.89
02185,Alaska,North Slope Borough,8.37
02188,Alaska,Northwest Arctic Borough,5.92
02195,Alaska,Petersburg Borough,10.43
02198,Alaska,Prince of Wales-Hyder Census Area,11.06
02220,Alaska,Sitka City and Borough,10.63
02230,Alaska,Skagway Municipality,7.76
02240,Alaska,Southeast Fairbanks Census Area,16.47
02261,Alaska,Valdez-Cordova Census Area,15.46
02275,Alaska,Wrangell City and Borough,13.51
02282,Alaska,Yakutat City and Borough,7.57
02290,Alaska,Yukon-Koyukuk Census Area,8.96
04001,Arizona,Apache County,5.61
04003,Arizona,Cochise County,19.28
04005,Arizona,Coconino County,6.53
04007,Arizona,Gila County,12.65
04009,Arizona,Graham County,7.47
04011,Arizona,Greenlee County,9.09
04012,Arizona,La Paz County,14.89
04013,Arizona,Maricopa County,7.92
04015,Arizona,Mohave County,14.46
04017,Arizona,Navajo County,9.34
04019,Arizona,Pima County,10.67
04021,Arizona,Pinal County,10.82
04023,Arizona,Santa Cruz County,4.99
04025,Arizona,Yavapai County,14.09
04027,Arizona,Yuma County,10.12
05001,Arkansas,Arkansas County,7.98
05003,Arkansas,Ashley County,6.85
05005,Arkansas,Baxter County,14.43
05007,Arkansas,Benton County,8.22
05009,Arkansas,Boone County,11.17
05011,Arkansas,Bradley County,8.71
05013,Arkansas,Calhoun County,11.02
05015,Arkansas,Carroll County,11.0
05017,Arkansas,Chicot County,6.27
05019,Arkansas,Clark County,8.05
05021,Arkansas,Clay County,8.88
05023,Arkansas,Cleburne County,12.02
05025,Arkansas,Cleveland County,8.18
05027,Arkansas,Columbia County,7.86
05029,Arkansas,Conway County,10.64
05031,Arkansas,Craighead County,6.76
05033,Arkansas,Crawford County,9.61
05035,Arkansas,Crittenden County,6.91
05037,Arkansas,Cross County,6.93
05039,Arkansas,Dallas County,9.83
05041,Arkansas,Desha County,5.95
05043,Arkansas,Drew County,8.57
05045,Arkansas,Faulkner County,7.62
05047,Arkansas,Franklin County,10.07
05049,Arkansas,Fulton County,11.82
05051,Arkansas,Garland County,11.22
05053,Arkansas,Grant County,11.09
05055,Arkansas,Greene County,8.87
05057,Arkansas,Hempstead County,7.05
05059,Arkansas,Hot Spring County,8.92
05061,Arkansas,Howard County,7.9
05063,Arkansas,Independence County,8.58
05065,Arkansas,Izard County,12.81
05067,Arkansas,Jackson County,8.2
05069,Arkansas,Jefferson County,7.66
05071,Arkansas,Johnson County,9.15
05073,Arkansas,Lafayette County,7.91
05075,Arkansas,Lawrence County,8.55
05077,Arkansas,Lee County,4.83
05079,Arkansas,Lincoln County,6.8
05081,Arkansas,Little River County,8.94
05083,Arkansas,Logan County,9.04
05085,Arkansas,Lonoke County,12.68
05087,Arkansas,Madison County,6.99
05089,Arkansas,Marion County,13.69
05091,Arkansas,Miller County,9.45
05093,Arkansas,Mississippi County,7.12
05095,Arkansas,Monroe County,8.18
05097,Arkansas,Montgomery County,11.16
05099,Arkansas,Nevada County,5.88
05101,Arkansas,Newton County,11.15
05103,Arkansas,Ouachita County,9.07
05105,Arkansas,Perry County,11.06
05107,Arkansas,Phillips County,7.22
05109,Arkansas,Pike County,9.28
05111,Arkansas,Poinsett County,5.38
05113,Arkansas,Polk County,12.57
05115,Arkansas,Pope County,9.16
05117,Arkansas,Prairie County,8.99
05119,Arkansas,Pulaski County,9.36
05121,Arkansas,Randolph County,9.13
05123,Arkansas,St. Francis County,7.12
05125,Arkansas,Saline County,10.23
05127,Arkansas,Scott County,9.4
05129,Arkansas,Searcy County,11.04
05131,Arkansas,Sebastian County,8.17
05133,Arkansas,Sevier County,7.85
05135,Arkansas,Sharp County,14.28
05137,Arkansas,Stone County,11.24
05139,Arkansas,Union County,7.11
05141,Arkansas,Van Buren County,9.81
05143,Arkansas,Washington County,6.81
05145,Arkansas,White County,8.95
05147,Arkansas,Woodruff County,8.57
05149,Arkansas,Yell County,8.52
06001,California,Alameda County,3.89
06003,California,Alpine County,9.04
06005,California,Amador County,12.31
06007,California,Butte County,8.29
06009,California,Calaveras County,11.8
06011,California,Colusa County,5.11
06013,California,Contra Costa County,5.54
06015,California,Del Norte County,9.91
06017,California,El Dorado County,9.44
06019,California,Fresno County,5.25
06021,California,Glenn County,7.05
06023,California,Humboldt County,7.96
06025,California,Imperial County,4.26
06027,California,Inyo County,10.66
06029,California,Kern County,5.91
06031,California,Kings County,10.02
06033,California,Lake County,9.94
06035,California,Lassen County,8.33
06037,California,Los Angeles County,3.45
06039,California,Madera County,6.04
06041,California,Marin County,5.49
06043,California,Mariposa County,10.92
06045,California,Mendocino County,8.84
06047,California,Merced County,5.11
06049,California,Modoc County,12.02
06051,California,Mono County,5.9
06053,California,Monterey County,5.55
06055,California,Napa County,7.0
06057,California,Nevada County,10.18
06059,California,Orange County,4.58
06061,California,Placer County,8.98
06063,California,Plumas County,11.84
06065,California,Riverside County,7.02
06067,California,Sacramento County,7.01
06069,California,San Benito County,5.7
06071,California,San Bernardino County,5.91
06073,California,San Diego County,8.92
06075,California,San Francisco County,3.19
06077,California,San Joaquin County,5.71
06079,California,San Luis Obispo County,7.56
06081,California,San Mateo County,4.17
06083,California,Santa Barbara County,6.39
06085,California,Santa Clara County,3.57
06087,California,Santa Cruz County,4.82
06089,California,Shasta County,10.21
06091,California,Sierra County,9.44
06093,California,Siskiyou County,11.16
06095,California,Solano County,9.77
06097,California,Sonoma County,6.63
06099,California,Stanislaus County,5.61
06101,California,Sutter County,8.72
06103,California,Tehama County,9.29
06105,California,Trinity County,11.39
06107,California,Tulare County,4.47
06109,California,Tuolumne County,11.68
06111,California,Ventura County,6.34
06113,California,Yolo County,4.8
06115,California,Yuba County,10.99
08001,Colorado,Adams County,7.4
08003,Colorado,Alamosa County,7.49
08005,Colorado,Arapahoe County,8.1
08007,Colorado,Archuleta County,11.99
08009,Colorado,Baca County,8.58
08011,Colorado,Bent County,10.13
08013,Colorado,Boulder County,5.52
08014,Colorado,Broomfield County,8.27
08015,Colorado,Chaffee County,12.02
08017,Colorado,Cheyenne County,6.53
08019,Colorado,Clear Creek County,7.7
08021,Colorado,Conejos County,8.83
08023,Colorado,Costilla County,13.03
08025,Colorado,Crowley County,10.21
08027,Colorado,Custer County,20.23
08029,Colorado,Delta County,13.15
08031,Colorado,Denver County,5.36
08033,Colorado,Dolores County,11.45
08035,Colorado,Douglas County,8.04
08037,Colorado,Eagle County,4.76
08039,Colorado,Elbert County,12.13
08041,Colorado,El Paso County,17.14
08043,Colorado,Fremont County,14.43
08045,Colorado,Garfield County,6.5
08047,Colorado,Gilpin County,15.2
08049,Colorado,Grand County,10.75
08051,Colorado,Gunnison County,5.75
08053,Colorado,Hinsdale County,11.64
08055,Colorado,Huerfano County,16.14
08057,Colorado,Jackson County,15.08
08059,Colorado,Jefferson County,8.41
08061,Colorado,Kiowa County,5.23
08063,Colorado,Kit Carson County,9.29
08065,Colorado,Lake County,7.54
08067,Colorado,La Plata County,7.6
08069,Colorado,Larimer County,7.71
08071,Colorado,Las Animas County,9.87
